Temperature,Initial Concentration,Time,A,B,I
30,50,0,50,0,0
30,50,1,42.976,6.997,0.027
30,50,2,36.939,12.958,0.103
30,50,3,31.75,18.029,0.221
30,50,5,23.456,25.987,0.558
30,50,10,11.004,37.212,1.784
30,50,15,5.162,41.549,3.289
30,50,20,2.422,42.689,4.89
30,50,25,1.136,42.362,6.502
30,50,30,0.533,41.379,8.088
30,50,35,0.25,40.12,9.631
40,50,0,50,0,0
40,50,1,42.37,7.597,0.032
40,50,2,35.905,13.973,0.122
40,50,3,30.426,19.313,0.261
40,50,5,21.849,27.498,0.653
40,50,10,9.548,38.4,2.053
40,50,15,4.172,42.094,3.734
40,50,20,1.823,42.681,5.496
40,50,25,0.797,41.953,7.25
40,50,30,0.348,40.69,8.962
40,50,35,0.152,39.232,10.616
50,50,0,50,0,0
50,50,1,41.905,8.058,0.037
50,50,2,35.121,14.741,0.138
50,50,3,29.435,20.271,0.294
50,50,5,20.676,28.594,0.73
50,50,10,8.55,39.183,2.267
50,50,15,3.536,42.381,4.084
50,50,20,1.462,42.572,5.966
50,50,25,0.605,41.569,7.826
50,50,30,0.25,40.12,9.631
50,50,35,0.103,38.53,11.367
60,50,0,50,0,0
60,50,1,40.451,9.497,0.052
60,50,2,32.726,17.08,0.195
60,50,3,26.476,23.116,0.409
60,50,5,17.329,31.675,0.997
60,50,10,6.006,41.018,2.976
60,50,15,2.081,42.706,5.213
60,50,20,0.721,41.821,7.458
60,50,25,0.25,40.12,9.631
60,50,30,0.087,38.208,11.706
60,50,35,0.03,36.291,13.679
70,50,0,50,0,0
70,50,1,38.364,11.556,0.08
70,50,2,29.435,20.271,0.294
70,50,3,22.585,26.808,0.608
70,50,5,13.296,35.263,1.441
70,50,10,3.536,42.381,4.084
70,50,15,0.94,42.158,6.902
70,50,20,0.25,40.12,9.631
70,50,25,0.067,37.725,12.209
70,50,30,0.018,35.354,14.628
70,50,35,0.005,33.101,16.894
30,100,0,100,0,0
30,100,1,85.952,13.994,0.054
30,100,2,73.878,25.916,0.207
30,100,3,63.499,36.059,0.442
30,100,5,46.912,51.973,1.115
30,100,10,22.007,74.425,3.568
30,100,15,10.324,83.098,6.578
30,100,20,4.843,85.378,9.779
30,100,25,2.272,84.724,13.004
30,100,30,1.066,82.759,16.176
30,100,35,0.5,80.239,19.261
40,100,0,100,0,0
40,100,1,84.741,15.194,0.065
40,100,2,71.81,27.945,0.245
40,100,3,60.853,38.626,0.522
40,100,5,43.698,54.997,1.305
40,100,10,19.095,76.799,4.105
40,100,15,8.344,84.187,7.469
40,100,20,3.646,85.363,10.991
40,100,25,1.593,83.907,14.5
40,100,30,0.696,81.381,17.923
40,100,35,0.304,78.464,21.232
50,100,0,100,0,0
50,100,1,83.811,16.116,0.073
50,100,2,70.242,29.481,0.277
50,100,3,58.87,40.542,0.587
50,100,5,41.352,57.188,1.46
50,100,10,17.1,78.367,4.534
50,100,15,7.071,84.761,8.168
50,100,20,2.924,85.144,11.932
50,100,25,1.209,83.138,15.652
50,100,30,0.5,80.239,19.261
50,100,35,0.207,77.059,22.734
60,100,0,100,0,0
60,100,1,80.902,18.994,0.104
60,100,2,65.451,34.16,0.389
60,100,3,52.951,46.231,0.817
60,100,5,34.657,63.35,1.993
60,100,10,12.011,82.036,5.953
60,100,15,4.163,85.412,10.426
60,100,20,1.443,83.641,14.916
60,100,25,0.5,80.239,19.261
60,100,30,0.173,76.415,23.412
60,100,35,0.06,72.582,27.358
70,100,0,100,0,0
70,100,1,76.727,23.113,0.16
70,100,2,58.87,40.542,0.587
70,100,3,45.17,53.615,1.215
70,100,5,26.592,70.527,2.882
70,100,10,7.071,84.761,8.168
70,100,15,1.88,84.316,13.804
70,100,20,0.5,80.239,19.261
70,100,25,0.133,75.45,24.417
70,100,30,0.035,70.708,29.256
70,100,35,0.009,66.202,33.789
30,200,0,200,0,0
30,200,1,171.904,27.987,0.109
30,200,2,147.755,51.832,0.413
30,200,3,126.999,72.117,0.884
30,200,5,93.824,103.946,2.23
30,200,10,44.014,148.849,7.137
30,200,15,20.648,166.197,13.156
30,200,20,9.686,170.756,19.558
30,200,25,4.544,169.448,26.008
30,200,30,2.132,165.517,32.351
30,200,35,1,160.478,38.522
40,200,0,200,0,0
40,200,1,169.482,30.389,0.129
40,200,2,143.62,55.89,0.49
40,200,3,121.705,77.252,1.043
40,200,5,87.397,109.994,2.61
40,200,10,38.191,153.599,8.211
40,200,15,16.689,168.374,14.937
40,200,20,7.293,170.725,21.982
40,200,25,3.187,167.813,29
40,200,30,1.393,162.762,35.846
40,200,35,0.609,156.928,42.464
50,200,0,200,0,0
50,200,1,167.621,32.232,0.147
50,200,2,140.484,58.963,0.553
50,200,3,117.741,81.085,1.175
50,200,5,82.704,114.377,2.92
50,200,10,34.2,156.733,9.067
50,200,15,14.142,169.522,16.336
50,200,20,5.848,170.288,23.864
50,200,25,2.418,166.277,31.305
50,200,30,1,160.478,38.522
50,200,35,0.414,154.119,45.468
60,200,0,200,0,0
60,200,1,161.804,37.987,0.209
60,200,2,130.902,68.32,0.778
60,200,3,105.903,92.463,1.635
60,200,5,69.315,126.7,3.986
60,200,10,24.023,164.072,11.905
60,200,15,8.326,170.824,20.851
60,200,20,2.885,167.283,29.832
